imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,banner_url,season_count
tt8009938,146561,movie,Blood Vessel,2019,"Fantasy,Horror",93,"Nathan Phillips,Robert Taylor,Christopher Kirby",5.4,3511,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/146561/backgrounds//A2JD56fOZJjMSmUrGf4RNi9V62.jpg,MOVIE
tt8019790,342060,series,Apple & Onion,2016,"Adventure,Animation,Comedy",11,"George Gendi,George Gendi,George Gendi",6.3,2325,TV-Y7,https://artworks.thetvdb.com/banners/v4/series/342060/backgrounds/63730ba02dba4.jpg,3
tt8022928,8958,movie,Descendants 3,2019,"Adventure,Family,Musical",106,"Cameron Boyce,Booboo Stewart,Mitchell Hope",6.4,12118,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/8958/backgrounds/25870139.jpg,MOVIE
tt8025296,12241,movie,Home by Spring,2018,Drama,87,"Steven R. McQueen,Kix Brooks,William Shockley",6.0,1552,TV-G,https://artworks.thetvdb.com/banners/v4/movie/12241/backgrounds/6760cec436aad.jpg,MOVIE
tt8026448,347719,series,Tacoma FD,2019,Comedy,30,"Kevin Heffernan,Steve Lemme,Marcus Henderson",8.1,10232,TV-14,https://artworks.thetvdb.com/banners/v4/series/347719/backgrounds/611bda8dbe6a4.jpg,4
tt8027296,139921,movie,Analysis Paralysis,2018,"Comedy,Romance",91,"Jason T. Gaffney,Kevin Held,Chopper Bernet",5.9,158,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/139921/backgrounds/5f5643863ec46.jpg,MOVIE
tt8029682,14388,movie,Bad Tutor,2018,Thriller,122,"Charles Hittinger,Ian Ward,Ben Reed",4.6,350,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/14388/backgrounds/671b377e7fd5c.jpg,MOVIE
tt8038720,346572,series,Bulletproof,2018,"Action,Crime,Drama",60,"Noel Clarke,Ashley Walters,Jason Maza",6.7,3747,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/346572/backgrounds/6047ab26291fa.jpg,3
tt8041270,13720,movie,Jurassic World Dominion,2022,"Action,Adventure,Sci-Fi",147,"Chris Pratt,Sam Neill,Jeff Goldblum",5.6,214156,PG-13,https://artworks.thetvdb.com/banners/v4/movie/13720/backgrounds/6314dbac79ead.jpg,MOVIE
tt8041658,415084,series,Moon Girl and Devil Dinosaur,2023,"Action,Adventure,Animation",23,"Fred Tatasciore,Fred Tatasciore,Fred Tatasciore",7.6,1720,TV-Y7,https://artworks.thetvdb.com/banners/v4/series/415084/backgrounds/63e9367b75163.jpg,2
tt8042004,166826,movie,Killer Raccoons! 2! Dark Christmas in the Dark!,2020,Comedy,96,"Yang Miller,Yang Miller,Ron Lynch",4.0,157,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/166826/backgrounds/656b027f2bb68.jpg,MOVIE
tt8042500,362250,series,Y: The Last Man,2021,"Action,Adventure,Drama",60,"Ben Schnetzer,Elliot Fletcher",6.0,15839,TV-MA,https://artworks.thetvdb.com/banners/v4/series/362250/backgrounds/61505fc32f3fa.jpg,1
tt8045468,353882,series,Run,2020,"Comedy,Romance,Thriller",30,"Domhnall Gleeson,Rich Sommer,Shaun J. Brown",6.2,8001,TV-MA,https://artworks.thetvdb.com/banners/v4/series/353882/backgrounds/605d01196f719.jpg,1
tt8046636,17867,movie,The Sinister Surrogate,2018,"Drama,Thriller",90,"Jim Meskimen,John J. York,Kit Williamson",4.7,310,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/17867/backgrounds/669b3e904e655.jpg,MOVIE
tt8050736,350703,series,Miz & Mrs.,2018,Reality-TV,21,Jake D'Onofrio,6.6,615,TV-14,https://artworks.thetvdb.com/banners/v4/series/350703/backgrounds/6294fdcc785b5.jpg,3
tt8050740,350984,series,Amphibia,2019,"Action,Adventure,Animation",23,"Justin Felbinger,Justin Felbinger,Bill Farmer",8.3,9688,TV-Y7,https://artworks.thetvdb.com/banners/series/350984/backgrounds/5f8bce90b7412.jpg,3
tt8050756,349578,series,The Owl House,2020,"Action,Adventure,Animation",22,"Alex Hirsch,Alex Hirsch,Alex Hirsch",8.6,20912,TV-Y7,https://artworks.thetvdb.com/banners/series/349578/backgrounds/62102007.jpg,3
tt8060322,346173,series,Littlest Pet Shop: A World of Our Own,2017,"Animation,Comedy,Fantasy",11,"Travis Turner,Travis Turner,Travis Turner",6.7,116,TV-Y,https://artworks.thetvdb.com/banners/v4/series/346173/backgrounds/657796010fbbf.jpg,1
tt8064302,361857,series,Dead to Me,2019,"Comedy,Crime,Drama",30,"Sam McCarthy,Luke Roessler,James Marsden",7.9,102409,TV-MA,https://artworks.thetvdb.com/banners/series/361857/panels/5fce3c08aad90.jpg,3
tt8068826,146785,movie,Switched,2020,"Comedy,Drama,Family",104,"John Schneider,Daniel Chioco,Nigel Rodgers",5.0,885,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/146785/backgrounds//sQHmc9SnNdUBl0oPjfrXZ0npyd.jpg,MOVIE
tt8068860,368126,series,Servant,2019,"Drama,Horror,Mystery",30,"Toby Kebbell,Rupert Grint,James Hoogerwerff",7.4,48854,TV-MA,https://artworks.thetvdb.com/banners/series/368126/backgrounds/62057009.jpg,4
tt8078816,342849,series,Something in the Rain,2018,"Drama,Romance",75,"Jung Hae-in,Wi Ha-joon,Park Hyuk-kwon",8.1,9291,TV-PG,https://artworks.thetvdb.com/banners/v4/series/342849/backgrounds/64fece33d3af3.jpg,1
tt8080122,365186,series,Godfather of Harlem,2019,"Crime,Drama",55,"Forest Whitaker,Erik LaRay Harvey,Elvis Nolasco",8.1,22066,TV-MA,https://artworks.thetvdb.com/banners/v4/series/365186/backgrounds/63da83aa2d10c.jpg,3
tt8089116,135019,movie,The Cat in the Hat Knows a Lot About Space!,2017,Animation,60,"Martin Short,Jacob Ewaniuk,Rob Tinkler",6.3,45,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/135019/backgrounds/608f23bc37cd1.jpg,MOVIE
tt8090564,139920,movie,Monsoon,2019,"Drama,History,Romance",85,"Henry Golding,William Do,David Tran",6.0,2397,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/139920/backgrounds/5f56400782fad.jpg,MOVIE
tt8093292,144023,movie,"Joseph: Beloved Son, Rejected Slave, Exalted Ruler",2015,Animation,90,"Chris Jung,Robert Magruder,Mike McFarland",6.8,43,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/144023/backgrounds/608c820e39653.jpg,MOVIE
tt8095746,390476,series,The Devil's Clock,2020,Drama,55,"Giuseppe Fiorello,Álvaro Cervantes,Álvaro Cervantes",5.6,114,UNAVAILABLE,https://artworks.thetvdb.com/banners/series/390476/backgrounds/5f9d4e9a97c60.jpg,1
tt8095862,148177,movie,The Seven,2019,Horror,79,"Dean Cain,Robert Wilde,Amar Adatia",2.9,230,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/148177/backgrounds//aqGmhXAKq4vvLjivXKmwop5FNPM.jpg,MOVIE
tt8097030,146582,movie,Turning Red,2022,"Adventure,Animation,Comedy",100,"Orion Lee,Tristan Allerick Chen",7.0,158856,PG,https://artworks.thetvdb.com/banners/v4/movie/146582/backgrounds/622fcc5fb88a0.jpg,MOVIE
tt8098956,316316,series,Noughts + Crosses,2020,"Drama,Romance,Sci-Fi",60,"Jack Rowan,Paterson Joseph,Josh Dylan",6.3,2800,TV-MA,https://artworks.thetvdb.com/banners/v4/series/316316/backgrounds/631cb021475ab.jpg,2
tt8103070,349309,series,Legacies,2018,"Adventure,Drama,Fantasy",45,"Aria Shahghasemi,Aria Shahghasemi,Quincy Fouse",7.2,38439,TV-14,https://artworks.thetvdb.com/banners/v4/series/349309/backgrounds/6260093547a8d.jpg,4
tt8108186,318357,movie,Kotigobba 3,2021,"Action,Drama,Romance",140,"Sudeep,Sudeep,Aftab Shivdasani",5.6,2560,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/318357/backgrounds/6196eb86f35b7.jpg,MOVIE
tt8109470,139304,movie,The Unfamiliar,2020,"Horror,Thriller",89,"Christopher Dane,Harlym McMillan-Hunt,Ben Lee",4.1,2490,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/139304/backgrounds/5f42f1e966c63.jpg,MOVIE
tt8110246,147313,movie,Dark Web: Cicada 3301,2021,"Action,Comedy,Thriller",104,"Jack Kesy,Ron Funches,Alan Ritchson",5.0,2644,R,https://artworks.thetvdb.com/banners/v4/movie/147313/backgrounds/6049a4792102e.jpg,MOVIE
tt8111088,361753,series,The Mandalorian,2019,"Action,Adventure,Fantasy",40,"Pedro Pascal,Chris Bartlett,Chris Bartlett",8.6,603617,TV-14,https://artworks.thetvdb.com/banners/series/361753/backgrounds/62092238.jpg,3
tt8115460,358641,series,Pearson,2019,Drama,42,"Simon Kassianides,Eli Goree,Morgan Spector",6.8,3045,TV-14,https://artworks.thetvdb.com/banners/v4/series/358641/backgrounds/6476ac06c266d.jpg,1
tt8115474,300546,movie,Living the Change: Inspiring Stories for a Sustainable Future,2018,Documentary,85,"Charles Eisenstein,Mike Joy,Andrew Martin",6.9,154,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/300546/backgrounds//b6V72hUzozbVVmQWljDrHhQk4kV.jpg,MOVIE
tt8115900,146586,movie,The Bad Guys,2022,"Adventure,Animation,Comedy",100,"Sam Rockwell,Marc Maron,Craig Robinson",6.8,62903,PG,https://artworks.thetvdb.com/banners/v4/movie/146586/backgrounds/637a8ae41c6a6.jpg,MOVIE
tt8116036,306847,movie,52 Words for Love,2018,Drama,89,"Phil Lortie,Adam Christie,Daniel Cosentino",6.1,46,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/306847/backgrounds//r37LN24DKbwb0UsCJ7RLG8HVAYF.jpg,MOVIE
tt8128344,356334,series,Flack,2019,"Comedy,Drama",60,"Rufus Jones,Arinzé Kene,Andrew Leung",7.3,6413,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/356334/backgrounds/60aaeb1c9dea5.jpg,2
tt8129006,368121,series,Central Park,2020,"Animation,Comedy,Musical",25,"Tituss Burgess,Tituss Burgess,Tituss Burgess",6.9,4406,TV-PG,https://artworks.thetvdb.com/banners/v4/series/368121/backgrounds/622cf653eb666.jpg,3
tt8129450,363777,series,Breeders,2020,"Comedy,Drama",30,"Martin Freeman,Alun Armstrong,Patrick Baladi",7.6,8546,TV-MA,https://artworks.thetvdb.com/banners/v4/series/363777/backgrounds/607a9d43b09d8.jpg,4
tt8130518,337245,movie,Dark Cloud,2022,"Horror,Sci-Fi,Thriller",81,"Pierse Stevens,Justen Jones,Toussaint Morrison",3.7,4577,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/337245/backgrounds/671d68f32d4af.jpg,MOVIE
tt8130558,148048,movie,One Day: Justice Delivered,2019,"Action,Crime,Thriller",124,"Anupam Kher,Kumud Mishra,Zakir Hussain",5.1,2742,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/148048/backgrounds/600e045bc3f68.jpg,MOVIE
tt8139876,340525,series,Building Giants,2018,Documentary,44,"Avrey Martin,Linus Levinson",7.8,46,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/340525/backgrounds/61e52310614a0.jpg,5
tt8144760,353252,series,Tomorrow's World Today,2018,Adventure,30,Richard Sheffield,7.6,31,TV-G,https://artworks.thetvdb.com/banners/v4/series/353252/backgrounds/6624290648058.jpg,8
tt8144834,132154,movie,Section 375,2019,"Crime,Drama,Mystery",124,"Akshaye Khanna,Rahul Bhat,Kishore Kadam",8.1,18632,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/132154/backgrounds/65a0288f96281.jpg,MOVIE
