imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,season_count,banner_url,drive_url,file_id
tt1478964,5850,movie,Attack the Block,2011,"Action,Adventure,Comedy",88,"John Boyega,Alex Esmail,Leeon Jones",6.7,112394,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/5850/backgrounds/617d218f27326.jpg,https://drive.google.com/file/d/1guJDzvktASyjS-ZMfeF7tdlfg_pbGNuX/view?usp=drive_link,1guJDzvktASyjS-ZMfeF7tdlfg_pbGNuX
tt1486217,110381,series,Archer,2009,"Action,Animation,Comedy",22,"Chris Parnell,H. Jon Benjamin",8.6,168429,16,14,https://artworks.thetvdb.com/banners/series/110381/backgrounds/5f91b1f14f5db.jpg,https://drive.google.com/file/d/1PvAg2mX85MRLfTYdhtMcIqtkNoyHEEIy/view?usp=drive_link,1PvAg2mX85MRLfTYdhtMcIqtkNoyHEEIy
tt1487118,8037,movie,Chalet Girl,2011,"Comedy,Romance",97,"Rick Edwards,Bill Nighy,Ed Westwick",6.3,27167,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/8037/backgrounds/6287c32d66a88.jpg,https://drive.google.com/file/d/1VqIfMLiEnEI3Vsal6w03dLaWg2EDSAib/view?usp=drive_link,1VqIfMLiEnEI3Vsal6w03dLaWg2EDSAib
tt1489428,134241,series,Justified,2010,"Action,Crime,Drama",45,"Timothy Olyphant,Nick Searcy,Jacob Pitts",8.6,121556,16,6,https://disney.images.edge.bamgrid.com/ripcut-delivery/v2/variant/disney/e15382e1-380e-43f1-87ea-6fcfa0b4198e/compose?format=webp&label=standard_regular_prompt_178&width=800,https://drive.google.com/file/d/1M-LcfCQ3Ee9ELiLf-W0sztmulJz7chiz/view?usp=drive_link,1M-LcfCQ3Ee9ELiLf-W0sztmulJz7chiz
tt1489887,61141,movie,Booksmart,2019,Comedy,102,"Jason Sudeikis,Mason Gooding,Will Forte",7.1,133889,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/movies/61141/panels/2195380.jpg,https://drive.google.com/file/d/11nRoCTW_9l_G6D1V7SbcLybOGrsEVqzm/view?usp=drive_link,11nRoCTW_9l_G6D1V7SbcLybOGrsEVqzm
tt1517268,16612,movie,Barbie,2023,"Adventure,Comedy,Fantasy",114,Ryan Gosling,6.8,570594,12,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/16612/backgrounds/64d803ece80f0.jpg,https://drive.google.com/file/d/1A-t8hd1TeOZl6KqWi5cFNPMCR3jKSo-s/view?usp=drive_link,1A-t8hd1TeOZl6KqWi5cFNPMCR3jKSo-s
tt1517451,6,movie,A Star Is Born,2018,"Drama,Romance",136,"Sam Elliott,Bradley Cooper,Greg Grunberg",7.6,427340,16,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/6/backgrounds/64ac700f76525.jpg,https://drive.google.com/file/d/1a11toB3bAVDI4xUba40hByrFtE6hJ6JD/view?usp=drive_link,1a11toB3bAVDI4xUba40hByrFtE6hJ6JD
tt1520211,153021,series,The Walking Dead,2010,"Drama,Horror,Thriller",45,"Andrew Lincoln,Norman Reedus",8.1,1108841,16,11,https://artworks.thetvdb.com/banners/v4/series/153021/backgrounds/630cd482a926a.jpg,https://drive.google.com/file/d/1nREON1D8CBkL8wbPK8xh0f-UCW4YAWvo/view?usp=drive_link,1nREON1D8CBkL8wbPK8xh0f-UCW4YAWvo
tt1528406,114801,series,Fairy Tail,2009,"Action,Adventure,Animation",24,Todd Haberkorn,7.9,29107,12,8,https://artworks.thetvdb.com/banners/series/114801/backgrounds/62063936.jpg,https://drive.google.com/file/d/1Mq4y-f8r6YhtWx5kM_1ol3qKcK0V4TPL/view?usp=drive_link,1Mq4y-f8r6YhtWx5kM_1ol3qKcK0V4TPL
tt1538403,979,movie,The Mortal Instruments: City of Bones,2013,"Action,Adventure,Fantasy",130,"Jamie Campbell Bower,Kevin Zegers,Robert Sheehan",5.8,139876,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/979/backgrounds/664235841a1fe.jpg,https://drive.google.com/file/d/1_9ytV22W6hMhfDqEqmc6yTU8uNbehlkj/view?usp=drive_link,1_9ytV22W6hMhfDqEqmc6yTU8uNbehlkj
