imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,season_count,banner_url
tt9319668,384429,series,1899,2022,"Drama,Horror,Mystery",60,"Aneurin Barnard,Andreas Pietschmann,Miguel Bernardeau",7.3,112096,16,1,https://artworks.thetvdb.com/banners/v4/series/384429/backgrounds/63658489f275d.jpg
tt9335498,348545,series,Demon Slayer: Kimetsu no Yaiba,2019,"Action,Adventure,Animation",24,"Yoshitsugu Matsuoka,Zach Aguilar,Natsuki Hanae",8.6,167120,16,5,https://artworks.thetvdb.com/banners/v4/series/348545/backgrounds/60467b584a16d.jpg
tt9362722,132814,movie,Spider-Man: Across the Spider-Verse,2023,"Action,Adventure,Animation",140,"Brian Tyree Henry,Jake Johnson,Shameik Moore",8.6,407704,6,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/132814/backgrounds/6455731baf1c4.jpg
tt9362930,156176,movie,Blue Beetle,2023,"Action,Adventure,Sci-Fi",127,"Xolo Maridueña,George Lopez,Damián Alcázar",5.9,102649,12,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/156176/backgrounds/65ae8e5264631.jpg
tt9376612,131146,movie,Shang-Chi and the Legend of the Ten Rings,2021,"Action,Adventure,Fantasy",132,"Tony Leung Chiu-wai,Simu Liu",7.4,447613,12,MOVIE,https://artworks.thetvdb.com/banners/movies/131146/backgrounds/5ec14a4ad1ea8.jpg
tt9411972,165871,movie,Where the Crawdads Sing,2022,"Drama,Mystery,Romance",125,"Harris Dickinson,David Strathairn,Taylor John Smith",7.2,136798,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/165871/backgrounds/636f14f7cd323.jpg
tt9419884,32426,movie,Doctor Strange in the Multiverse of Madness,2022,"Action,Adventure,Fantasy",126,"Chiwetel Ejiofor,Benedict Wong,Benedict Cumberbatch",6.9,494235,12,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/32426/backgrounds/62b4b229098fe.jpg
tt9471404,356992,series,The Chosen,2017,Drama,54,"Jonathan Roumie,Shahar Isaac,Paras Patel",9.2,50626,AL,5,https://artworks.thetvdb.com/banners/v4/series/356992/backgrounds/649c855955b4f.jpg
tt9522300,354198,series,Kaguya-sama: Love is War,2019,"Animation,Comedy,Romance",24,"Aaron Dismuke,Yutaka Aoyama,Makoto Furukawa",8.5,21850,12,3,https://artworks.thetvdb.com/banners/series/354198/backgrounds/5edfca44843d3.jpg
tt9561862,357888,series,"Love, Death & Robots",2019,"Action,Adventure,Animation",15,Fred Tatasciore,8.4,203935,16,4,https://artworks.thetvdb.com/banners/v4/series/357888/backgrounds/64cd3c58102cb.jpg
tt9619798,134822,movie,The Wrong Missy,2020,"Comedy,Romance",90,"David Spade,Nick Swardson,Geoff Pierson",5.8,46769,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/movies/134822/panels/5ebc38bd186dc.jpg
